accepted_rank,binary_outgoing_verdict,clip_end_frame,clip_file,clip_start_frame,contact_frame,player,post_frames,post_gap,post_largest_step_ratio,post_run,pre_frames,pre_gap,pre_largest_step_ratio,pre_run,sampled_failure_reason,scoring_only_gt_stroke_frames,span_id,stable_rally_key,stratum,three_way_pre_verdict
1,False,15859,01_bottom_first_outgoing_false_sset_01_set1_r8_f15809.mp4,15759,15809,Bottom,,,,post: no run,,,,pre: no run,no run,not included,9,sset_01:1:set1:8,bottom_first_outgoing_false,not_applicable
1,False,24419,02_bottom_first_outgoing_false_sset_15_set1_r2_f24369.mp4,24319,24369,Bottom,12,14,3.558501035804681,"post: [24383,24395) n=12 gap=14 ratio=3.56",,,,pre: no run,local gap 14 over scaled 2,not included,3,sset_15:15:set1:2,bottom_first_outgoing_false,unavailable
1,False,15781,03_bottom_first_outgoing_false_sset_21_set1_r5_f15721.mp4,15661,15721,Bottom,16,1,28.0965872374686,"post: [15722,15738) n=16 gap=1 ratio=28.10",3,1,1.1463016377202617,"pre: [15718,15721) n=3 gap=1 ratio=1.15",largest-step ratio 28.10 over 4.0,not included,6,sset_21:21:set1:5,bottom_first_outgoing_false,unavailable
1,False,19637,04_bottom_first_outgoing_false_sset_01_set1_r12_f19587.mp4,19537,19587,Bottom,25,1,6.538737418963999,"post: [19588,19613) n=25 gap=1 ratio=6.54",4,1,1.1704256707736815,"pre: [19583,19587) n=4 gap=1 ratio=1.17",largest-step ratio 6.54 over 4.0,not included,13,sset_01:1:set1:12,bottom_first_outgoing_false,incoming
1,False,25876,05_bottom_first_outgoing_false_sset_15_set1_r4_f25826.mp4,25776,25826,Bottom,13,13,2.7549365526668015,"post: [25839,25852) n=13 gap=13 ratio=2.75",,,,pre: no run,local gap 13 over scaled 2,not included,6,sset_15:15:set1:4,bottom_first_outgoing_false,incoming
1,False,11617,06_top_first_outgoing_false_sset_01_set1_r1_f11567.mp4,11517,11567,Top,9,17,1.5331092925477952,"post: [11584,11593) n=9 gap=17 ratio=1.53",,,,pre: no run,local gap 17 over scaled 2,not included,3,sset_01:1:set1:1,top_first_outgoing_false,not_applicable
1,False,25184,07_top_first_outgoing_false_sset_15_set1_r3_f25134.mp4,25084,25134,Top,25,1,6.828282904743282,"post: [25135,25160) n=25 gap=1 ratio=6.83",14,1,2.297587308315257,"pre: [25120,25134) n=14 gap=1 ratio=2.30",largest-step ratio 6.83 over 4.0,not included,4,sset_15:15:set1:3,top_first_outgoing_false,not_applicable
1,False,13628,08_top_first_outgoing_false_sset_21_set1_r2_f13568.mp4,13508,13568,Top,,,,post: no run,,,,pre: no run,no run,not included,3,sset_21:21:set1:2,top_first_outgoing_false,unavailable
1,False,11944,09_top_first_outgoing_false_sset_01_set1_r2_f11894.mp4,11844,11894,Top,25,1,4.454819580150079,"post: [11895,11920) n=25 gap=1 ratio=4.45",7,1,1.619372299359572,"pre: [11887,11894) n=7 gap=1 ratio=1.62",largest-step ratio 4.45 over 4.0,not included,4,sset_01:1:set1:2,top_first_outgoing_false,unavailable
1,False,14613,10_top_first_outgoing_false_sset_21_set1_r3_f14553.mp4,14493,14553,Top,25,6,4.557406616649551,"post: [14559,14584) n=25 gap=6 ratio=4.56",,,,pre: no run,local gap 6 over scaled 2,not included,4,sset_21:21:set1:3,top_first_outgoing_false,incoming
2,True,23123,11_bottom_selected_pre_unavailable_sset_01_set1_r14_f23073.mp4,23023,23073,Bottom,25,1,1.9488255710230638,"post: [23074,23099) n=25 gap=1 ratio=1.95",2,1,1.0,"pre: [23071,23073) n=2 gap=1 ratio=1.00",fewer than 5 frames (2),not included,15,sset_01:1:set1:14,bottom_selected_pre_unavailable,unavailable
1,True,23715,12_bottom_selected_pre_unavailable_sset_15_set1_r1_f23665.mp4,23615,23665,Bottom,24,2,2.1066838510028276,"post: [23667,23691) n=24 gap=2 ratio=2.11",,,,pre: no run,no run,not included,2,sset_15:15:set1:1,bottom_selected_pre_unavailable,unavailable
1,True,16569,13_bottom_selected_pre_unavailable_sset_21_set1_r6_f16509.mp4,16449,16509,Bottom,5,1,3.8194918953725416,"post: [16510,16515) n=5 gap=1 ratio=3.82",29,1,4.287102412607202,"pre: [16480,16509) n=29 gap=1 ratio=4.29",largest-step ratio 4.29 over 4.0,not included,7,sset_21:21:set1:6,bottom_selected_pre_unavailable,unavailable
3,True,25065,14_bottom_selected_pre_unavailable_sset_01_set1_r16_f25015.mp4,24965,25015,Bottom,25,1,3.0991834796240734,"post: [25016,25041) n=25 gap=1 ratio=3.10",25,1,7.414906194301278,"pre: [24990,25015) n=25 gap=1 ratio=7.41",largest-step ratio 7.41 over 4.0,not included,17,sset_01:1:set1:16,bottom_selected_pre_unavailable,unavailable
1,True,32915,15_bottom_selected_pre_unavailable_sset_15_set1_r12_f32865.mp4,32815,32865,Bottom,25,1,2.771762363544702,"post: [32866,32891) n=25 gap=1 ratio=2.77",2,1,1.0,"pre: [32863,32865) n=2 gap=1 ratio=1.00",fewer than 5 frames (2),not included,19,sset_15:15:set1:12,bottom_selected_pre_unavailable,unavailable
4,True,12408,16_top_selected_pre_unavailable_sset_01_set1_r3_f12358.mp4,12308,12358,Top,25,1,3.6573330865764317,"post: [12359,12384) n=25 gap=1 ratio=3.66",25,1,4.254936888959649,"pre: [12333,12358) n=25 gap=1 ratio=4.25",largest-step ratio 4.25 over 4.0,not included,5,sset_01:1:set1:3,top_selected_pre_unavailable,unavailable
2,True,27637,17_top_selected_pre_unavailable_sset_15_set1_r6_f27587.mp4,27537,27587,Top,13,1,2.7320351940945815,"post: [27588,27601) n=13 gap=1 ratio=2.73",4,1,1.0547255896487577,"pre: [27583,27587) n=4 gap=1 ratio=1.05",fewer than 5 frames (4),not included,8,sset_15:15:set1:6,top_selected_pre_unavailable,unavailable
3,True,19084,18_top_selected_pre_unavailable_sset_21_set1_r9_f19024.mp4,18964,19024,Top,30,1,3.5698292563307645,"post: [19025,19055) n=30 gap=1 ratio=3.57",30,1,4.190451915593196,"pre: [18994,19024) n=30 gap=1 ratio=4.19",largest-step ratio 4.19 over 4.0,not included,10,sset_21:21:set1:9,top_selected_pre_unavailable,unavailable
2,True,15027,19_top_selected_pre_unavailable_sset_01_set1_r6_f14977.mp4,14927,14977,Top,15,1,2.388264953016337,"post: [14978,14993) n=15 gap=1 ratio=2.39",1,1,,"pre: [14976,14977) n=1 gap=1 ratio=nan",fewer than 5 frames (1),not included,7,sset_01:1:set1:6,top_selected_pre_unavailable,unavailable
3,True,29868,20_top_selected_pre_unavailable_sset_15_set1_r9_f29818.mp4,29768,29818,Top,25,1,2.6969820265246685,"post: [29819,29844) n=25 gap=1 ratio=2.70",25,1,73.5445015969206,"pre: [29793,29818) n=25 gap=1 ratio=73.54",largest-step ratio 73.54 over 4.0,not included,13,sset_15:15:set1:9,top_selected_pre_unavailable,unavailable
