case_id,population,candidate_id,ranking_role,visual_ruling,available_interval_count,constraint_rank,min_separation_working_px,min_separation_pair,max_corner_error_display_px
am2_window_00_frame_150,automatic_all_camera,30:30,line,mistakes the blue mat boundary for the court. The sidelines otherwise align with the outer edges of the white paint,12,8,1.9364003055258074,far_long_service vs far_baseline,185.1
am2_window_00_frame_150,automatic_all_camera,30:33,paint,"described as perfect, including alignment with the outer paint edges. The extreme far end is uncertain because of perspective, but looks suitable",12,8,1.8615469304044554,far_long_service vs far_baseline,10.8
am2_window_01_frame_28019,automatic_all_camera,16:1800,line,"extends to the blue mat borders and appears sheared in several directions. It roughly follows the right painted sideline, but not adequately",12,8,2.1586059217620686,far_long_service vs far_baseline,193.5
am2_window_01_frame_28019,automatic_all_camera,184:4123,paint,rejected as an incoherent court near the net top,12,8,0.36948371216012393,near_long_service vs near_baseline,1189.5
am3_window_00_frame_0,automatic_all_camera,43:22603,line,essentially perfect,12,8,3.057164748946747,far_long_service vs far_baseline,7.7
am3_window_00_frame_0,automatic_all_camera,43:22627,paint,very usable. The near baseline follows the inner paint edge. The first horizontal in from the net visibly biases downward along its length,12,8,3.0771597417719465,far_long_service vs far_baseline,11.3
gxBQ_window_00_frame_0,automatic_all_camera,22:4579,line,"not really usable. The top-left corner lies up and right of its expected position; the bottom-left lies too far left. The court looks sheared. The bottom-right corner seems perfect. Without the shear, the fit would probably be good",12,8,1.870193697615778,far_long_service vs far_baseline,18.8
gxBQ_window_00_frame_0,automatic_all_camera,22:4588,paint,"worse, with the same shear and an incorrect bottom-right corner",12,8,1.83524296963249,far_long_service vs far_baseline,12.7
gxBQ_window_00_frame_5,automatic_all_camera,181:29836,line,rejected; it draws a court on the wall. The user suspects a far-left net post and a person were treated as the two net posts,12,8,11.07518811256475,near_long_service vs near_baseline,705.5
gxBQ_window_00_frame_5,automatic_all_camera,10:1274,paint,rejected; it draws a court over the seated children. The user associates its left margin with the space between two net posts,12,8,4.599480488315016,right_singles vs right_doubles,704.4
shuttleset_03_scene_0016,automatic_all_camera,1:60,line,very usable. Sidelines follow the inner paint edges; the near baseline is essentially perfect. The far baseline drifts from the outer paint edge on the left to the inner edge on the right,12,8,9.510236720741867,far_long_service vs far_baseline,8.6
shuttleset_03_scene_0016,automatic_all_camera,1:90,paint,usable. Sidelines and near baseline follow the inner paint edges. The far baseline slightly overshoots on the left and slopes towards the outer paint edge at the right,12,8,9.473980740998558,far_long_service vs far_baseline,11.3
shuttleset_03_scene_0017,automatic_all_camera,1:80,line,very usable with slight skew. Sidelines follow the inner paint edges. Horizontals appear to move from the top side of the paint on the left to the bottom side on the right,12,8,9.587391576923672,far_baseline vs far_long_service,11.1
shuttleset_03_scene_0017,automatic_all_camera,1:132,paint,similar but worse. The far baseline overshoots by an estimated 20 cm,12,8,9.652957182979659,far_baseline vs far_long_service,10.2
shuttleset_03_scene_0019,automatic_all_camera,1:60,line,usable. Sidelines are well aligned with the inner paint edges. The near baseline is perfect at the left and slightly inset at the right. The far baseline drifts from the inner paint edge on the left to the outer edge on the right,12,8,9.469376369663754,far_baseline vs far_long_service,12.7
shuttleset_03_scene_0019,automatic_all_camera,165:6702,paint,"rejected as an unrelated, hallucinated court",5,7,4.6293271768421596,right_doubles vs right_singles,8390.9
shuttleset_21_scene_0020,automatic_all_camera,0:2,line and paint,very usable. Sidelines follow the inner paint edges. The near baseline follows the outer edge perfectly. The far baseline slightly overshoots at the top left and otherwise roughly follows the outer paint edge. / very usable. Sidelines follow the inner paint edges. The near baseline follows the outer edge perfectly. The far baseline slightly overshoots at the top left and otherwise roughly follows the outer paint edge.,12,8,9.918770474072437,far_long_service vs far_baseline,7.2 / 7.2
gxBQ_window_00_frame_0,gx0_label_guided_bank_control,1864,line,Essentially perfect; indistinguishable from approved court apart from a very mild bottom-right inset to the white-line midpoint.,12,8,1.8261758462108642,far_long_service vs far_baseline,3.120853873757136
gxBQ_window_00_frame_0,gx0_label_guided_bank_control,5144,paint,Perfect.,12,8,1.8087551380903564,far_long_service vs far_baseline,4.0500476020947955
gxBQ_window_00_frame_0,GX0 supplied-direction comparator,89,comparator (approved reference),no ruling recorded,12,8,1.8579560921910636,far_long_service vs far_baseline,not recorded; candidate89 is itself the reference for winners 1864 and 5144
